Company Name,,Operating as,Phone,Website,Region,Country,City,State/Province,Street address,Plant details,Number of Lines,Joint Venture Partner,,,,,,,,,,,,,
Chu Lai Float Glass,,,84 51 0224-0288,http://www.cfg.com.vn/lang-en/home.html,Asia,Vietnam,Nui Thanh,Quang Nam,,,1,,,,,,,,,,,,,,
CSG Holding Ltd.,,Chengdu CSG Glass Co. Ltd.,86 028 8568-9888,http://www.csgholding.com/en/firm/qiye.asp?ListId=1203,Asia,China,Shuangliu Chengdu,Sichuan,"No.16, Huanglong Avenue, Gongxing Town",,3,,,,,,,,,,,,,,
CSG Holding Ltd.,,Hebei CSG Glass Co. Ltd,86 31 6569-8666,http://www.csgholding.com/en/firm/qiye.asp?ListId=1204,Asia,China,Yongqing Langfang,Hebei,,,2,,,,,,,,,,,,,,
CSG Holding Ltd.,,Wujiang CSG Glass Co. Ltd.,86 512 6319-3333,http://www.csgholding.com/en/firm/qiye.asp?ListId=1439,Asia,China,Wujiang Suzhou,Jiangsu,,,2,,,,,,,,,,,,,,
CSG Holding Ltd.,,Xianning CSG Glass Co. Ltd.,86 71 5889-0888,http://www.csgholding.com/en/firm/qiye.asp?ListId=1516,Asia,China,Xianning,Hubei,,,2,,,,,,,,,,,,,,
Dezhou Jinghua Group Zhenhua Co. Ltd.,,,86 53 4261-2369,http://dzjhglass.en.china.cn/,Asia,China,Dezhou,Shandong,,,2,,,,,,,,,,,,,,
Duzce Cam,,,+90 380 552 60 07,http://duzcecam.com.tr/,Asia,Turkey,Duzce,,2.Organize Sanayi Bölgesi Cumhuriyet Mah. 1.Cd. No:2 81000 Beyköy/Düzce,A second float line is under construction.,2,,,,,,,,,,,,,,
Emirates Float Glass (Dubai Investments),,,971 2599-4000,http://efgme.com,Middle East,United Arab Emirates,Abu Dhabi,,353MR2-ICAD-2 Musaffah,,1,,,,,,,,,,,,,,
Euroglas (Glas Trosch Group),,,33 3898-3350,http://www.euroglas.com/en/euroglas.html,Europe,France,Hombourg,,,,1,,,,,,,,,,,,,,
Euroglas (Glas Trosch Group),,,49 3904-6380,http://www.euroglas.com/en/euroglas.html,Europe,Germany,Haldensleben,,Dammuhlenweg 60 D 39340,,1,,,,,,,,,,,,,,
Euroglas (Glas Trosch Group),,,49 3904-6380,http://www.euroglas.com/en/euroglas.html,Europe,Germany,Osterweddingen,,,,1,,,,,,,,,,,,,,
Euroglas (Glas Trosch Group),,,48 4 4719-4000,http://www.euroglas.com/en/euroglas.html,Europe,Poland,Ujazad,,Osiedle Niewiadow 65,,2,,,,,,,,,,,,,,
F | glass,,,+49 39205 4500,https://www.fglass.de,Europe,Germany,Osterweddingen,Saxe-Anhalt,Appendorfer Weg 5,"The factory in Osterweddingen near Magdeburg (Saxony-Anhalt), which began operations in 2009 – one of the world's most modern float glass plants – produces f | glass GmbH's flat glass, which is then coated and toughened as per the customers' requirements.",1,AGC-INTERPANE,39171,,,,,,,,,,,,
Farun Group,,,86 512 5855-0960,http://chinaglassweb.com/encom/default_2705.html,Asia,China,Zhangjiagang Suzhou,Jiangsu,,,9,,,,,,,,,,,,,,
Farun Group,,,86 75 0203-6448,http://farun.gmc.globalmarket.com/,Asia,China,Jiangmen,Guangdong,,,2,,,,,,,,,,,,,,
Farun Group,,,86 411 8802-1290,http://chinaglassweb.com/encom/default_2705.html,Asia,China,Dalian,Liaoning,,,1,,,,,,,,,,,,,,
Freddy Industries Corp.,,,+(86)5328-5625-601,http://freddyglass.com,Asia,China,Qingdao,,No. 137 NingXia Road,Freddy Industries reports 2 float lines. The precise locations of the lines have yet to be confirmed.,2,,,,,,,,,,,,,,
Fuyao Glass Industry Group Co. Ltd.,,,86 47 5842-4338,http://www.fuyaogroup.com/en/about.php?network,Asia,China,Tongliao,Inner Mongolia,,,2,,,,,,,,,,,,,,
Fuyao Glass Industry Group Co. Ltd.,,,86 591 8538-3777,http://www.fuyaogroup.com/en/about.php?network,Asia,China,Fuqing,Fujian,,,2,,,,,,,,,,,,,,
Fuyao Glass Industry Group Co. Ltd.,,,,http://www.fuyaogroup.com/en/about.php?network,Asia,China,Shuangliao,Jilin,,,2,,,,,,,,,,,,,,
Fuyao Glass Industry Group Co. Ltd.,,,86 47 5842-4338,http://www.fuyaogroup.com/en/about.php?network,Asia,China,Chongqing,,,,2,,,,,,,,,,,,,,
Fuyao Glass Industry Group Co. Ltd.,,,86 89 8674-8557-7,http://www.fuyaogroup.com/en/about.php?network,Asia,China,Laocheng,Hainan,,,3,,,,,,,,,,,,,,
Fuyao Glass Industry Group Co. Ltd.,,Fuyao North America,217-864-2392,http://www.fuyaona.com/,North America,US,Mt. Zion,IL,2768 E Elwin Rd.,,2,,,,,,,,,,,,,,
G-Crystal,,,+(86)1356-1686-841,http://www.cnggg.cn/index.php?lang=en,Asia,China,Zibo,Shandong,Zibo High and New Technology Development,G-Crystal reports 13 float lines. The precise locations of the lines have yet to be confirmed.,13,,,,,,,,,,,,,,
Gold Plus Glass Industry Ltd.,,,9.20E+11,http://goldplusgroup.com/index.html,Asia,India,Rorkee,Uttarakhand,"Roorkee Laksar Road, Khempur, Uttarakhand, India",,1,,,,,,,,,,,,,,
Guardian Glass,,,55 24 3355-9000,http://www.guardianbrasil.com.br/,Europe,Brazil,Porto Real,Rio de Janeiro,,,1,,,,,,,,,,,,,,
Guardian Glass,,,55 15 3205-6000,http://www.guardianbrasil.com.br/,Europe,Brazil,Tatui,Sao Paulo,,,1,,,,,,,,,,,,,,
Guardian Glass,,Egyptian Glass Company,20 1541-0464,https://www.guardian.com/,,Egypt,Tenth of Ramadan City,,,,1,,,,,,,,,,,,,,
Guardian Glass,,,49 34 9436-1500,https://www.guardian.com/,Europe,Germany,Thalheim,,"Guardianstrasse I, D-06766",,1,,,,,,,,,,,,,,
Guardian Glass,,,36 6888-7200,https://www.guardian.com/,Europe,Hungary,Oroshaza,,,,1,,,,,,,,,,,,,,
Guardian Glass,,,91 26 4327-5106,https://www.guardian.com/,Asia,India,Kondh,Gujarat ,,,1,Modi Rubber Limited,,,,,,,,,,,,,
Guardian Glass,,,none,https://www.guardian.com/,Europe,Luxembourg,Bascharage,,,,1,,,,,,,,,,,,,,
Guardian Glass,,,352 52-1111,https://www.guardian.com/,Europe,Luxembourg,Dudelange,,"Zone Industrielle Wolser, 3452",,1,,,,,,,,,,,,,,
Guardian Glass,,,52 44 2278-1700,http://www.guardianmexico.com.mx/,North America,Mexico,El Marques,Queretaro,,,1,,,,,,,,,,,,,,
Guardian Glass,,,48 3 4323-9200,http://www.guardian-czestochowa.com/,Europe,Poland,Czestochowa,,"Guardian Industries Poland Sp.z.o.o., ul. W.Korfantego 31/35",,1,,,,,,,,,,,,,,
Guardian Glass,,,7 49 1295-6600,http://www.guardian-russia.ru/ru/,Europe,Russia,Krasny Sulin,Krasny Sulin Rostov Oblast,,,1,,,,,,,,,,,,,,
Guardian Glass,,,7 49 1295-6600,http://www.guardian-russia.ru/ru/,Europe,Russia,Ryazan,,"Guardian Steklo Ryazan LLC, Ryazhskoe shosse D4",,1,,,,,,,,,,,,,,
Guardian Glass,,GulfGuard,966 3358-8888,http://www.gulfguard.com/,Middle East,Saudi Arabia,Al-Jubail,,"PB No:11963, Rd 251",,1,"""Saudi Guardian International Float Glass Ltd., The National Company for Glass Industries (Zoujaj)""",,,,,,,,,,,,,
Guardian Glass,,,34 9 4671-9509,https://www.guardian.com/,Europe,Spain,Llodio,Araba,,,1,,,,,,,,,,,,,,
Guardian Glass,,,34 9 4881-7209,https://www.guardian.com/,Europe,Spain,Tudela,Navarre,Poligono Ind. Montes de Cierzo,,1,,,,,,,,,,,,,,
Guardian Glass,,,66 3637-3373,http://www.guardianthailand.com/,Asia,Thailand,Nong Khae Saraburi,,42 Moo 7 Nong Plamoh,,1,,,,,,,,,,,,,,
Guardian Glass,,,66 3889-2111,http://www.guardianthailand.com/,Asia,Thailand,Rayong,,"Guardian Industries Corp Ltd., 116 Moo 3, Tambon Nonglalok Amphur",,1,,,,,,,,,,,,,,
Guardian Glass,,,971 7205-8000,https://www.guardianglass.com/,Middle East,United Arab Emirates,Ras Al Khaimah,,,,1,The National Company for Glass Industries (Zoujaj),,,,,,,,,,,,,
Guardian Glass,,,44 14 0572-6800,https://www.guardian.com/,Europe,UK ,Goole,,"Guardian Industries, Rawcliffe Road",,1,,,,,,,,,,,,,,
Guardian Glass,,,559-896-6400,https://www.guardianglass.com/,North America,US,Kingsburg,CA,11535 E. Mountain View,,1,,,,,,,,,,,,,,
Guardian Glass,,,734-654-6264,https://www.guardianglass.com/,North America,US,Carleton,MI,14600 Romine Road,Guardian launched its new jumbo MSVD coater in October. https://glassmagazine.com/news-item/commercial/guardian-glass-celebrates-north-american-jumbo-coater-start-1818462,2,,,,,,,,,,,,,,
Guardian Glass,,,563-659-4000,https://www.guardianglass.com/,North America,US,DeWitt,IA,300 South 5th Avenue East,The plant is back online after suspending operations due to an explosion in June. The resulting damage from the event required a period of extended repair.,1,,,,,,,,,,,,,,
Guardian Glass,,,315-787-7000,https://www.guardianglass.com/,North America,US,Geneva,NY,50 Forge Avenue,,1,,,,,,,,,,,,,,
Guardian Glass,,,803-789-6100,https://www.guardianglass.com/,North America,US,Richburg,SC,610 L and C Distribution Park,,1,,,,,,,,,,,,,,
Guardian Glass,,,903-872-4871,https://www.guardianglass.com/,North America,US,Corsicana,TX,3801 S. Highway 287,,1,,,,,,,,,,,,,,
Guardian Glass (currently controlled by Venezuelan government),,,58 29 1300-5200,https://www.guardian.com/,South America,Venezuela,Maturin,,,,1,,,,,,,,,,,,,,
Hankuk Glass Industries Co. Ltd.,,,82 5 1720-4214,http://www.hanglas.co.kr/eng/01_company/company_di_01_01.asp,Asia,South Korea,Busan,,,,1,,,,,,,,,,,,,,
Hankuk Glass Industries Co. Ltd.,,Hanglas,82 63 460-4114,http://www.hanglas.co.kr/eng/01_company/company_di_01_01.asp,Asia,South Korea,Gunsan,,"77, Soryong-dong",,2,Saint-Gobain,,,,,,,,,,,,,
Hankuk Glass Industries Co. Ltd.,,Hanglas,82 63 460-4114,http://www.hanglas.co.kr/eng/01_company/company_di_01_01.asp,Asia,South Korea,Gunsan,,"77, Soryong-dong",,1,,,,,,,,,,,,,,
Hebei Yingxin Glass Group Co. Ltd.,,,86 031 9898-3297,http://en.yxbljt.com/about.html,Asia,China,Shahe City,Hebei,,,8,,,,,,,,,,,,,,
Henan Benyue Float Glass Co. Ltd.,,,86 39 1667-5789,http://hnbyjt.glass.com.cn/ [Chinese],Asia,China,Jiyuan,,,,0,,,,,,,,,,,,,,
Indevco Joint Stock Co.,,,7034424890,http://nga.org,Asia,Vietnam,Khanh Cu Industrial Zone,Ninh Bình,Khanh Cu Industrial Park,,1,,,,,,,,,,,,,,
Interglass,,,996 3 1232-3144,http://www.interglass.kg/en,Asia,Kyrgyzstan,Tokmok,,,,1,,,,,,,,,,,,,,
Intex Glass Xiamen Company Limited,,,86 59 2624-1669,http://www.intexglass.net/,Asia,China,Jimei Xiamen,Fujian,,,6,,,,,,,,,,,,,,
Jiangmen ISN Float Glass Co.,,,86 750 3792-1132-118,http://www.jisnglass.com.cn/newactionscript30/en/about.asp,Asia,China,Jianghai Jiangmen,Guangdong,,,2,Guangdong Jiangmen Float Glass Factory and Singapore ISN Co. Ltd.,,,,,,,,,,,,,
Jin Jing Group,,,86 053 3358-4605,http://en.cnggg.cn,Asia,China,Zibo,Shangdong,,,9,Saint-Gobain,,,,,,,,,,,,,
Kaveh Industry Group,,Asa Float Glass,98 218 4400,http://www.kavehglass.com/tabid/131/Default.aspx,Middle East,Iran,Maragheh,East Azerbaijan,,,1,,,,,,,,,,,,,,
Kaveh Industry Group,,Kavian Float Glass,98 218-4400,http://www.kavehglass.com/tabid/131/Default.aspx,Middle East,Iran,Mashhad,,,,1,,,,,,,,,,,,,,
Kaveh Industry Group,,Taban Glass,98 218-4400,http://www.kavehglass.com/tabid/131/Default.aspx,Middle East,Iran,Kaveh Industrial City Markazi,,,,1,,,,,,,,,,,,,,
Kaveh Industry Group,,Iran Float Glass,98 218-4400,http://www.kavehglass.com/tabid/131/Default.aspx,Middle East,Iran,Kaveh Industrial City Markazi,,,,1,,,,,,,,,,,,,,
Kaveh Industry Group,,First Glass,98 218-4400,http://www.kavehglass.com/tabid/131/Default.aspx,Middle East,Syria,Damascus,,Adra Industrial City,,1,,,,,,,,,,,,,,
Keumkang Korea,,,82 3 1880-3000,http://www.kccworld.co.kr/eng/,Asia,South Korea,Yeoju,Gyeonggi-do,,,7,,,,,,,,,,,,,,
Khawaja Flat Glass Industries (Pvt.) Limited,,,92 5 1556-4998,,Asia,Pakistan,Hassan Abdal,Punjab,,,1,,,,,,,,,,,,,,
Kibing Group,,Changxing Kibing Glass Co. Ltd.,86 65 6884-6401,http://kibinggroup.com/en/Subsidiaries.asp,Asia,China,Changxing,Zhejiang,,,4,,,,,,,,,,,,,,
Kibing Group,,Heyuan Kibing Silicon Co. Ltd.,86 65 6884-6401,http://kibinggroup.com/en/Subsidiaries.asp,Asia,China,Heyuan,Guangdong,,,2,,,,,,,,,,,,,,
Kibing Group,,Pinghu Kibing Glass Co. Ltd.,86 65 6884-6401,http://kibinggroup.com/en/Subsidiaries.asp,Asia,China,Pinghu,Zhejiang,,,2,,,,,,,,,,,,,,
